,,,,,,,,,,,,,,,,,,,,,,,
,,,,8th graders,7%,,test rate,pass rate,total pass,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index,,,,,,
15K464,Park Slope Collegiate,21,s,72,5,,29.2%,,,4.4%,35.0%,39.4%,18.0%,22.0%,6.7%,66.8%,63.1%,,,,,,
15K821,Sunset Park Prep,53,s,163,11,,32.5%,,,17.9%,0.8%,77.2%,4.2%,23.6%,16.5%,96.2%,89.8%,,,,,,
16K035,M.S. 035 Stephen Decatur,27,s,79,6,,34.2%,,,1.6%,85.3%,11.0%,1.6%,31.8%,2.9%,85.3%,87.7%,,,,,,
16K057,J.H.S. 057 Whitelaw Reid,9,s,80,6,,11.3%,,,3.0%,63.3%,30.7%,2.5%,35.7%,9.0%,93.5%,91.7%,,,,,,
16K267,"M.S. 267 Math, Science & Technology",19,s,86,6,,22.1%,,,0.7%,71.9%,19.9%,1.5%,35.2%,5.2%,87.3%,88.4%,,,,,,
16K308,P.S. 308 Clara Cardwell,8,s,56,4,,14.3%,,,2.5%,76.4%,18.5%,1.1%,26.5%,5.1%,88.7%,90.5%,,,,,,
16K681,Madiba Prep Middle School,20,s,61,4,,32.8%,,,1.9%,73.0%,22.0%,2.5%,31.4%,8.8%,86.8%,82.9%,,,,,,
17K002,Parkside Preparatory Academy,69,s,158,11,,43.7%,,,3.9%,78.1%,13.4%,2.4%,16.6%,10.1%,88.8%,79.2%,,,,,,
17K061,M.S. 061 Dr. Gladstone H. Atwell,96,s,267,19,,36.0%,,,2.5%,86.8%,9.2%,1.0%,19.2%,5.8%,69.8%,73.9%,,,,,,
17K138,P.S. 138 Brooklyn,23,s,80,6,,28.8%,,,1.6%,79.5%,13.1%,4.8%,18.2%,8.3%,92.0%,79.5%,,,,,,
17K181,P.S. 181 Brooklyn,28,s,81,6,,34.6%,,,1.0%,84.0%,10.0%,2.6%,19.7%,13.9%,74.3%,79.4%,,,,,,
17K189,P.S. 189 The Bilingual Center,49,s,119,8,,41.2%,,,3.5%,69.5%,24.8%,1.2%,13.8%,19.4%,92.1%,82.0%,,,,,,
17K246,M.S. 246 Walt Whitman,24,s,148,10,,16.2%,,,1.0%,73.4%,20.1%,4.8%,22.3%,30.3%,85.2%,86.0%,,,,,,
17K340,I.S. 340,35,s,74,5,,47.3%,,,0.9%,78.1%,17.0%,0.9%,21.4%,0.4%,79.5%,73.8%,,,,,,
17K352,Ebbets Field Middle School,9,s,72,5,,12.5%,,,9.0%,61.1%,25.7%,4.2%,28.7%,22.2%,98.2%,88.7%,,,,,,
17K353,Elijah Stroud Middle School,6,s,45,3,,13.3%,,,2.1%,78.1%,17.8%,1.4%,37.7%,6.8%,94.5%,86.9%,,,,,,
17K354,The School of Integrated Learning,18,s,67,5,,26.9%,,,2.8%,81.1%,15.0%,0.0%,24.0%,7.5%,91.7%,81.8%,,,,,,
17K382,Academy for College Preparation and Career Explora,15,s,43,3,,34.9%,,,1.4%,76.3%,13.5%,1.9%,14.9%,14.2%,77.5%,78.9%,,,,,,
17K394,M.S. K394,12,s,55,4,,21.8%,,,8.0%,72.1%,18.4%,0.8%,13.8%,6.1%,87.6%,85.3%,,,,,,
17K484,Ronald Edmonds Learning Center II,7,s,45,3,,15.6%,,,0.0%,74.8%,22.0%,1.3%,27.0%,5.0%,88.7%,91.4%,,,,,,
17K531,"School for Human Rights, The",s,s,29,2,,#VALUE!,,,1.1%,89.8%,6.1%,2.0%,20.6%,5.4%,83.7%,74.9%,,,,,,
17K543,"Science, Technology and Research Early College Hig",20,s,67,5,,29.9%,,,4.4%,80.0%,11.8%,1.3%,13.9%,0.9%,75.8%,60.2%,,,,,,
17K590,Medgar Evers College Preparatory School,15,s,88,6,,17.0%,,,2.3%,88.0%,4.8%,0.9%,7.3%,0.2%,67.1%,53.0%,,,,,,
17K722,New Heights Middle School,13,s,70,5,,18.6%,,,0.4%,83.8%,10.7%,3.8%,30.8%,6.0%,86.8%,82.3%,,,,,,
18K066,P.S. 66,37,s,102,7,,36.3%,,,0.7%,87.2%,7.9%,2.6%,11.2%,2.9%,71.5%,59.3%,,,,,,
18K068,I.S. 068 Isaac Bildersee,16,s,143,10,,11.2%,,,2.7%,83.2%,7.1%,6.2%,28.3%,21.5%,82.3%,74.3%,,,,,,
18K211,I.S. 211 John Wilson,36,s,185,13,,19.5%,,,1.3%,86.8%,8.6%,1.9%,25.9%,6.1%,83.9%,69.9%,,,,,,
18K285,I.S. 285 Meyer Levin,45,s,191,13,,23.6%,,,0.6%,93.8%,3.5%,1.1%,19.2%,3.9%,78.1%,72.6%,,,,,,
18K366,The Science And Medicine Middle School,42,s,137,10,,30.7%,,,0.8%,89.0%,7.5%,2.0%,20.6%,2.0%,81.5%,67.9%,,,,,,
18K581,East Flatbush Community Research School,18,s,32,2,,56.3%,,,0.0%,87.8%,7.6%,3.8%,26.0%,11.5%,91.6%,81.2%,,,,,,
18K588,Middle School for Art and Philosophy,11,s,59,4,,18.6%,,,0.6%,87.0%,8.5%,2.3%,31.6%,7.3%,91.5%,74.7%,,,,,,
18K598,Middle School of Marketing and Legal Studies,17,s,52,4,,32.7%,,,4.6%,87.0%,3.1%,3.8%,19.1%,13.7%,88.5%,78.4%,,,,,,
18K763,Brooklyn Science and Engineering Academy,34,s,70,5,,48.6%,,,0.4%,93.0%,3.9%,1.6%,17.1%,3.1%,76.7%,54.7%,,,,,,
19K089,P.S. 089 Cypress Hills,17,s,54,4,,31.5%,,,0.9%,3.1%,94.5%,0.0%,23.4%,44.6%,92.8%,86.2%,,,,,,
19K171,I.S. 171 Abraham Lincoln,11,s,152,11,,7.2%,,,7.2%,8.3%,81.1%,1.4%,18.7%,26.8%,98.2%,88.3%,,,,,,
19K218,J.H.S. 218 James P. Sinnott,23,s,138,10,,16.7%,,,17.1%,35.7%,42.5%,2.2%,25.2%,25.2%,92.9%,93.1%,,,,,,
19K364,I.S. 364 Gateway,21,s,109,8,,19.3%,,,1.4%,64.3%,31.1%,2.6%,28.0%,1.4%,80.6%,81.2%,,,,,,
19K404,Academy for Young Writers,7,s,73,5,,9.6%,,,0.7%,70.1%,26.6%,1.1%,20.1%,2.6%,84.1%,79.9%,,,,,,
19K409,East New York Family Academy,10,s,71,5,,14.1%,,,3.2%,62.9%,31.3%,0.8%,22.2%,3.8%,87.1%,81.2%,,,,,,
19K422,Spring Creek Community School,6,s,70,5,,8.6%,,,1.3%,73.8%,21.3%,1.3%,25.5%,2.9%,82.2%,80.8%,,,,,,
19K452,Frederick Douglass Academy VIII Middle School,52,s,101,7,,51.5%,,,5.7%,71.1%,20.5%,2.1%,18.2%,2.1%,86.3%,70.7%,,,,,,
19K654,Van Siclen Community Middle School,15,s,89,6,,16.9%,,,1.7%,70.7%,22.2%,4.0%,35.0%,11.8%,94.6%,90.1%,,,,,,
19K661,Vista Academy,24,s,124,9,,19.4%,,,5.1%,23.9%,65.4%,2.1%,19.7%,9.5%,97.4%,83.4%,,,,,,
19K662,Liberty Avenue Middle School,12,s,152,11,,7.9%,,,4.7%,19.7%,71.2%,1.7%,21.9%,17.6%,96.1%,88.1%,,,,,,
19K663,School of the Future Brooklyn,12,s,62,4,,19.4%,,,1.5%,65.7%,30.3%,1.5%,25.9%,10.4%,92.5%,94.1%,,,,,,
19K678,East New York Middle School of Excellence,16,s,76,5,,21.1%,,,2.8%,57.7%,37.5%,2.0%,27.7%,10.3%,90.5%,90.1%,,,,,,
19K760,Highland Park Community School,10,s,97,7,,10.3%,,,2.8%,16.9%,76.2%,0.9%,19.7%,12.5%,93.7%,83.2%,,,,,,
20K062,J.H.S. 062 Ditmas,104,s,391,27,,26.6%,,,32.6%,19.8%,33.1%,13.6%,18.4%,21.5%,87.4%,83.0%,,,,,,
20K192,P.S. 192 - The Magnet School for Math and Science,14,s,67,5,,20.9%,,,21.7%,1.8%,47.1%,28.7%,20.8%,31.8%,85.2%,89.7%,,,,,,
20K609,Urban Assembly School for Criminal Justice,24,s,77,5,,31.2%,,,47.7%,16.4%,18.3%,15.8%,14.4%,14.9%,94.4%,84.0%,,,,,,
21K095,P.S. 095 The Gravesend,12,s,48,3,,25.0%,,,35.1%,8.2%,35.3%,20.7%,17.0%,12.9%,74.2%,78.5%,,,,,,
21K099,P.S. 099 Isaac Asimov,17,s,101,7,,16.8%,,,42.2%,7.5%,17.8%,31.6%,12.9%,27.9%,73.7%,79.3%,,,,,,
21K121,P.S. 121 Nelson A. Rockefeller,7,s,31,2,,22.6%,,,20.2%,2.4%,42.3%,33.0%,27.1%,19.0%,64.3%,72.0%,,,,,,
21K209,P.S. 209 Margaret Mead,33,s,67,5,,49.3%,,,31.5%,3.4%,24.1%,40.0%,26.3%,19.2%,79.5%,68.9%,,,,,,
21K225,P.S. K225 - The Eileen E. Zaglin,42,s,139,10,,30.2%,,,19.6%,2.0%,33.4%,44.0%,19.6%,40.9%,76.7%,81.7%,,,,,,
21K238,P.S. 238 Anne Sullivan,14,s,60,4,,23.3%,,,20.9%,4.1%,49.6%,24.2%,20.3%,33.1%,81.3%,84.4%,,,,,,
21K303,I.S. 303 Herbert S. Eisenberg,38,s,182,13,,20.9%,,,21.6%,10.2%,38.5%,29.0%,15.8%,14.1%,77.0%,80.3%,,,,,,
21K468,Kingsborough Early College School,15,s,100,7,,15.0%,,,7.5%,24.0%,29.2%,37.1%,18.7%,1.5%,70.8%,63.9%,,,,,,
21K690,Brooklyn Studio Secondary School,19,s,100,7,,19.0%,,,21.4%,3.5%,29.2%,44.6%,19.7%,15.7%,75.9%,74.2%,,,,,,
22K014,J.H.S. 014 Shell Bank,41,s,207,14,,19.8%,,,14.9%,38.9%,16.6%,28.0%,24.8%,24.4%,91.2%,82.3%,,,,,,
22K078,J.H.S. 078 Roy H. Mann,35,s,198,14,,17.7%,,,6.9%,70.2%,9.2%,12.2%,26.1%,6.7%,84.7%,69.1%,,,,,,
22K109,P.S. 109,12,s,102,7,,11.8%,,,1.8%,80.0%,14.5%,2.3%,24.2%,6.0%,86.5%,73.3%,,,,,,
22K207,P.S. 207 Elizabeth G. Leary,43,s,140,10,,30.7%,,,12.3%,33.9%,15.6%,36.2%,19.0%,4.3%,50.7%,37.6%,,,,,,
22K240,Andries Hudde,74,s,269,19,,27.5%,,,18.6%,58.0%,13.6%,8.5%,17.6%,13.7%,85.2%,72.5%,,,,,,
22K381,I. S. 381,30,s,98,7,,30.6%,,,9.0%,52.5%,20.1%,16.4%,18.4%,15.6%,68.9%,70.5%,,,,,,
23K041,P.S. 041 Francis White,s,s,63,4,,#VALUE!,,,0.4%,60.0%,31.3%,3.3%,32.6%,7.7%,98.2%,95.9%,,,,,,
23K137,P.S./I.S. 137 Rachel Jean Mitchell,9,s,33,2,,27.3%,,,0.0%,74.9%,19.5%,1.3%,28.1%,4.3%,93.1%,87.8%,,,,,,
23K155,P.S./ I.S. 155 Nicholas Herkimer,8,s,34,2,,23.5%,,,2.9%,51.2%,43.5%,1.4%,21.9%,16.1%,97.1%,93.6%,,,,,,
23K178,P.S. 178 Saint Clair Mckelway,s,s,30,2,,#VALUE!,,,1.9%,75.3%,18.0%,3.2%,18.8%,5.6%,88.1%,90.1%,,,,,,
23K184,P.S. 184 Newport,s,s,52,4,,#VALUE!,,,0.2%,71.8%,26.5%,0.7%,26.6%,4.1%,90.8%,95.0%,,,,,,
23K284,"The Gregory Jocko Jackson School of Sports, Art, a",9,s,48,3,,18.8%,,,0.0%,66.2%,32.7%,0.6%,27.0%,9.5%,93.9%,96.8%,,,,,,
23K323,P.S./I.S. 323,10,s,71,5,,14.1%,,,1.2%,77.5%,20.2%,0.2%,17.0%,3.3%,93.1%,91.0%,,,,,,
23K327,P.S. 327 Dr. Rose B. English,9,s,28,2,,32.1%,,,1.2%,66.4%,28.7%,2.1%,24.2%,9.2%,97.6%,93.8%,,,,,,
23K392,I.S. 392,46,s,94,7,,48.9%,,,4.1%,74.9%,15.6%,0.7%,16.6%,0.7%,74.6%,65.5%,,,,,,
23K518,Kappa V (Knowledge and Power Preparatory Academy),20,s,76,5,,26.3%,,,0.0%,87.7%,9.2%,0.4%,30.7%,1.3%,82.0%,80.6%,,,,,,
23K522,Mott Hall IV,9,s,60,4,,15.0%,,,1.3%,85.6%,12.5%,0.0%,38.1%,1.9%,89.4%,90.7%,,,,,,
23K644,Eagle Academy for Young Men II,12,s,85,6,,14.1%,,,0.6%,88.7%,8.3%,0.6%,25.5%,0.6%,80.1%,72.8%,,,,,,
23K664,Brooklyn Environmental Exploration School (BEES),12,s,35,2,,34.3%,,,0.0%,73.7%,18.9%,5.3%,40.0%,6.3%,97.9%,92.4%,,,,,,
23K668,Riverdale Avenue Middle School,6,s,46,3,,13.0%,,,3.9%,74.0%,18.1%,1.6%,39.4%,12.6%,96.9%,89.4%,,,,,,
23K671,Mott Hall Bridges Academy,10,s,69,5,,14.5%,,,1.0%,82.9%,15.6%,0.5%,25.6%,0.0%,94.5%,90.8%,,,,,,
23K697,Teachers Preparatory High School,s,s,29,2,,#VALUE!,,,2.0%,75.6%,17.6%,4.0%,34.4%,6.8%,88.0%,87.2%,,,,,,
24Q061,I.S. 061 Leonardo Da Vinci,93,s,715,50,,13.0%,,,7.1%,2.7%,87.9%,1.8%,20.5%,31.5%,96.2%,85.9%,,,,,,
24Q077,I.S. 077,61,s,345,24,,17.7%,,,9.2%,2.2%,78.3%,10.0%,28.1%,21.3%,92.1%,80.1%,,,,,,
24Q087,P.S./I.S. 087 Middle Village,12,s,75,5,,16.0%,,,3.3%,2.1%,52.0%,40.8%,22.4%,8.6%,63.0%,56.0%,,,,,,
24Q093,I.S. 093 Ridgewood,78,s,378,26,,20.6%,,,9.2%,1.9%,71.2%,17.2%,21.7%,15.3%,94.7%,75.5%,,,,,,
24Q113,P.S./I.S. 113 Anthony J. Pranzo,26,s,133,9,,19.5%,,,5.2%,1.0%,41.9%,50.8%,15.2%,5.1%,55.5%,32.2%,,,,,,
24Q311,Corona Arts & Sciences Academy,16,s,120,8,,13.3%,,,2.0%,1.1%,96.2%,0.4%,18.8%,23.9%,97.4%,88.1%,,,,,,
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",35,s,51,4,,68.6%,,,23.8%,4.4%,55.2%,15.3%,15.5%,5.0%,77.0%,61.5%,,,,,,
25Q200,P.S./M.S. 200 - The Pomonok School & STAR Academy,9,s,66,5,,13.6%,,,14.8%,21.6%,46.9%,14.4%,16.3%,5.2%,72.2%,53.8%,,,,,,
25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,41,s,158,11,,25.9%,,,35.8%,23.3%,27.3%,9.8%,18.8%,15.8%,82.2%,69.8%,,,,,,
25Q252,"Queens School of Inquiry, The",23,s,75,5,,30.7%,,,40.8%,16.1%,24.1%,17.0%,14.8%,4.7%,59.7%,54.1%,,,,,,
25Q285,World Journalism Preparatory: A College Board Scho,16,s,72,5,,22.2%,,,15.0%,3.7%,35.6%,43.7%,18.7%,1.6%,56.4%,43.6%,,,,,,
26Q178,P.S./ IS 178 Holliswood,23,s,59,4,,39.0%,,,12.9%,6.9%,10.2%,67.5%,14.3%,5.5%,36.7%,31.5%,,,,,,
27Q042,P.S./M.S 042 R. Vernam,s,s,56,4,,#VALUE!,,,1.4%,72.6%,22.6%,1.4%,26.1%,3.5%,96.0%,90.7%,,,,,,
27Q043,P.S. 043,7,s,62,4,,11.3%,,,2.4%,57.9%,33.2%,4.9%,20.6%,8.9%,90.9%,86.1%,,,,,,
27Q047,P.S. 047 Chris Galas,s,s,14,1,,#VALUE!,,,0.5%,1.4%,18.5%,78.2%,25.5%,1.4%,34.3%,36.3%,,,,,,
27Q053,M.S. 053 Brian Piccolo,16,s,115,8,,13.9%,,,1.1%,52.1%,43.1%,1.5%,32.6%,20.6%,80.9%,85.5%,,,,,,
27Q105,P.S. 105 The Bay School,7,s,82,6,,8.5%,,,2.5%,62.8%,32.5%,1.5%,28.8%,5.2%,88.1%,93.2%,,,,,,
27Q114,P.S./M.S. 114 Belle Harbor,s,s,29,2,,#VALUE!,,,0.7%,2.1%,10.8%,85.1%,22.1%,0.4%,24.4%,17.3%,,,,,,
27Q124,P.S. 124 Osmond A Church,52,s,138,10,,37.7%,,,48.1%,20.0%,22.1%,3.0%,12.1%,7.2%,62.7%,67.4%,,,,,,
27Q146,P.S. 146 Howard Beach,11,s,76,5,,14.5%,,,4.3%,2.1%,38.6%,54.0%,22.1%,1.9%,47.5%,31.3%,,,,,,
27Q207,P.S. 207 Rockwood Park,14,s,83,6,,16.9%,,,3.2%,1.3%,18.5%,75.9%,19.3%,0.6%,34.6%,16.9%,,,,,,
27Q226,J.H.S. 226 Virgil I. Grissom,58,s,331,23,,17.5%,,,24.7%,38.2%,16.6%,1.9%,20.4%,6.3%,90.6%,70.0%,,,,,,
27Q232,P.S. 232 Lindenwood,33,s,102,7,,32.4%,,,9.6%,8.5%,46.8%,33.4%,18.1%,4.6%,61.9%,49.1%,,,,,,
27Q262,Channel View School for Research,15,s,98,7,,15.3%,,,8.7%,42.9%,34.3%,12.0%,12.8%,2.0%,72.6%,63.3%,,,,,,
27Q282,Knowledge and Power Preparatory Academy VI,42,s,84,6,,50.0%,,,3.8%,50.0%,42.8%,2.3%,16.7%,6.4%,82.6%,71.4%,,,,,,
27Q297,Hawtree Creek Middle School,25,s,121,8,,20.7%,,,32.2%,34.7%,20.2%,1.6%,20.5%,4.4%,91.5%,63.4%,,,,,,
27Q309,Academy of Medical Technology: A College Board Sch,13,s,73,5,,17.8%,,,6.3%,43.2%,43.7%,3.9%,15.8%,17.2%,78.6%,79.5%,,,,,,
27Q318,Waterside School For Leadership,s,s,77,5,,#VALUE!,,,1.8%,50.9%,37.3%,8.3%,27.2%,6.1%,89.0%,77.2%,,,,,,
27Q319,Village Academy,37,s,122,9,,30.3%,,,1.1%,56.3%,39.3%,2.2%,21.7%,17.0%,82.5%,82.5%,,,,,,
27Q333,Goldie Maple Academy,9,s,30,2,,30.0%,,,3.5%,69.9%,20.8%,2.1%,6.8%,0.2%,79.2%,70.2%,,,,,,
28Q008,J.H.S. 008 Richard S. Grossley,12,s,100,7,,12.0%,,,17.7%,44.8%,22.1%,0.9%,19.8%,12.7%,90.6%,79.8%,,,,,,
28Q072,Catherine & Count Basie Middle School 72,37,s,129,9,,28.7%,,,8.8%,68.5%,14.7%,2.1%,29.1%,6.9%,81.3%,74.6%,,,,,,
28Q167,Metropolitan Expeditionary Learning School,21,s,126,9,,16.7%,,,19.6%,17.1%,39.7%,16.6%,19.0%,1.9%,71.1%,52.5%,,,,,,
28Q284,York Early College Academy,21,s,93,7,,22.6%,,,28.0%,50.6%,8.2%,1.5%,10.5%,1.1%,71.5%,50.2%,,,,,,
28Q287,The Emerson School,21,s,121,8,,17.4%,,,19.7%,50.7%,20.3%,2.2%,25.8%,12.6%,85.8%,75.3%,,,,,,
28Q310,Queens Collegiate: A College Board School,24,s,76,5,,31.6%,,,27.9%,46.6%,15.9%,1.6%,16.1%,7.5%,86.1%,66.9%,,,,,,
28Q332,Redwood Middle School,27,s,108,8,,25.0%,,,16.2%,67.0%,9.7%,2.3%,24.3%,3.9%,68.9%,59.7%,,,,,,
28Q358,M.S. 358,47,s,122,9,,38.5%,,,21.5%,29.4%,41.5%,2.6%,18.9%,15.7%,88.7%,76.3%,,,,,,
29Q059,I.S. 059 Springfield Gardens,56,s,195,14,,28.7%,,,1.9%,86.5%,5.6%,1.4%,19.3%,2.6%,73.7%,60.7%,,,,,,
29Q116,P.S./I.S. 116 William C. Hughley,10,s,61,4,,16.4%,,,6.8%,54.0%,35.2%,1.6%,22.3%,15.9%,78.2%,80.5%,,,,,,
29Q138,P.S./M.S. 138 Sunrise,10,s,104,7,,9.6%,,,3.0%,80.6%,11.1%,3.1%,17.3%,5.2%,78.6%,61.3%,,,,,,
29Q147,P.S./M.S. 147 Ronald McNair,9,s,79,6,,11.4%,,,2.2%,89.0%,6.6%,1.0%,18.0%,5.2%,72.3%,55.4%,,,,,,
29Q192,I.S. 192 The Linden,18,s,160,11,,11.3%,,,3.7%,78.4%,9.9%,1.2%,22.2%,8.4%,72.0%,59.1%,,,,,,
29Q208,P.S./I.S. 208,28,s,102,7,,27.5%,,,7.8%,74.4%,13.3%,1.1%,18.7%,0.4%,45.8%,32.2%,,,,,,
29Q238,I.S. 238 - Susan B. Anthony Academy,123,s,521,36,,23.6%,,,28.6%,36.7%,28.1%,2.1%,13.4%,16.7%,89.7%,73.3%,,,,,,
29Q259,Pathways College Preparatory School: A College Boa,6,s,73,5,,8.2%,,,5.7%,85.6%,5.0%,1.2%,16.3%,3.8%,73.9%,48.9%,,,,,,
29Q268,P.S./I.S. 268,27,s,61,4,,44.3%,,,27.8%,28.5%,32.1%,2.2%,13.9%,16.5%,78.2%,70.2%,,,,,,
29Q270,The Gordon Parks School,35,s,97,7,,36.1%,,,0.5%,96.0%,2.1%,0.0%,16.1%,0.4%,65.2%,40.1%,,,,,,
29Q283,Preparatory Academy for Writers: A College Board S,10,s,42,3,,23.8%,,,2.6%,88.4%,5.3%,0.7%,16.2%,1.5%,68.7%,53.0%,,,,,,
29Q289,Queens United Middle School,21,s,87,6,,24.1%,,,0.0%,88.2%,5.9%,1.0%,18.6%,2.5%,74.5%,54.3%,,,,,,
29Q295,P.S./I.S. 295,27,s,62,4,,43.5%,,,36.5%,24.0%,29.4%,3.4%,16.7%,9.5%,77.4%,56.8%,,,,,,
29Q327,Eagle Academy for Young Men III,s,s,74,5,,#VALUE!,,,1.3%,88.5%,3.2%,1.9%,25.4%,0.8%,71.9%,53.4%,,,,,,
29Q355,Collaborative Arts Middle School,17,s,101,7,,16.8%,,,1.6%,86.6%,9.2%,0.3%,26.6%,4.6%,77.0%,61.7%,,,,,,
29Q356,Community Voices Middle School,9,s,99,7,,9.1%,,,1.7%,86.4%,9.6%,0.7%,26.5%,5.6%,71.2%,65.9%,,,,,,
30Q010,I.S. 010 Horace Greeley,56,s,249,17,,22.5%,,,20.0%,6.7%,56.1%,16.1%,17.9%,16.3%,76.9%,78.8%,,,,,,
30Q078,P.S./I.S. 78Q,14,s,27,2,,51.9%,,,22.1%,3.7%,28.5%,39.9%,10.9%,4.5%,26.9%,24.2%,,,,,,
30Q127,P.S. 127 Aerospace Science Magnet School,28,s,143,10,,19.6%,,,13.1%,10.8%,74.1%,1.6%,15.5%,28.7%,84.9%,77.2%,,,,,,
30Q204,I.S. 204 Oliver W. Holmes,28,s,153,11,,18.3%,,,15.9%,16.7%,60.3%,6.4%,27.1%,17.6%,89.3%,85.9%,,,,,,
30Q235,Academy for New Americans,6,s,49,3,,12.2%,,,19.8%,2.0%,65.3%,12.9%,1.0%,100.0%,96.0%,83.6%,,,,,,
30Q286,"Young Women's Leadership School, Astoria",29,s,84,6,,34.5%,,,34.7%,7.3%,39.5%,17.7%,12.2%,4.2%,85.1%,71.2%,,,,,,
31R002,I.S. R002 George L. Egbert,75,s,288,20,,26.0%,,,12.3%,7.6%,29.0%,49.3%,23.9%,7.9%,71.1%,58.6%,,,,,,
31R028,The Eagle Academy for Young Men of Staten Island,18,s,68,5,,26.5%,,,4.7%,48.6%,34.8%,9.5%,34.0%,5.5%,82.6%,73.8%,,,,,,
31R049,I.S. 49 Berta A. Dreyfus,42,s,240,17,,17.5%,,,9.0%,34.8%,46.1%,9.2%,35.5%,13.2%,94.1%,87.3%,,,,,,
31R061,I.S. 061 William A Morris,40,s,328,23,,12.2%,,,4.0%,32.8%,45.6%,15.3%,30.2%,11.4%,82.2%,77.5%,,,,,,
31R080,The Michael J. Petrides School,22,s,93,7,,23.7%,,,8.7%,21.2%,23.7%,42.7%,28.5%,1.4%,47.1%,44.6%,,,,,,
31R861,Staten Island School of Civic Leadership,34,s,96,7,,35.4%,,,12.5%,20.2%,43.0%,20.1%,25.1%,3.3%,78.6%,62.9%,,,,,,
32K045,P.S./I.S. 045 Horace E. Greene,24,s,63,4,,38.1%,,,2.9%,42.6%,49.9%,3.4%,18.4%,16.3%,81.6%,85.7%,,,,,,
32K162,J.H.S. 162 The Willoughby,8,s,162,11,,4.9%,,,3.3%,5.6%,87.5%,2.8%,23.9%,18.1%,90.3%,91.8%,,,,,,
32K291,J.H.S. 291 Roland Hayes,8,s,105,7,,7.6%,,,1.1%,14.6%,82.1%,1.4%,25.7%,28.2%,96.8%,95.5%,,,,,,
32K347,I.S. 347 School of Humanities,11,s,99,7,,11.1%,,,1.3%,4.5%,92.3%,1.6%,24.0%,17.0%,94.6%,90.5%,,,,,,
32K349,"I.S. 349 Math, Science & Tech.",7,s,82,6,,8.5%,,,0.3%,11.0%,87.7%,1.0%,21.3%,23.5%,97.7%,93.1%,,,,,,
32K377,P.S. 377 Alejandrina B. De Gautier,20,s,45,3,,44.4%,,,1.3%,19.0%,79.0%,0.6%,32.1%,17.8%,93.3%,85.2%,,,,,,
32K383,J.H.S. 383 Philippa Schuyler,179,s,284,20,,63.0%,,,4.4%,35.6%,56.9%,1.7%,15.3%,4.8%,83.4%,74.6%,,,,,,
32K384,P.S. /I.S. 384 Frances E. Carter,8,s,58,4,,13.8%,,,0.8%,12.1%,86.4%,0.4%,25.3%,26.7%,87.5%,91.9%,,,,,,
32K554,All City Leadership Secondary School,22,s,59,4,,37.3%,,,7.1%,8.3%,76.3%,8.0%,8.0%,1.6%,85.3%,70.2%,,,,,,
32K562,Evergreen Middle School for Urban Exploration,10,s,96,7,,10.4%,,,0.3%,24.9%,72.2%,2.6%,25.1%,17.5%,90.4%,90.7%,,,,,,
75K140,P.S. K140,s,s,30,2,,#VALUE!,,,3.0%,66.3%,24.8%,2.0%,99.7%,9.2%,89.4%,92.4%,,,,,,
75K369,P.S. K369 - Coy L. Cox School,s,s,59,4,,#VALUE!,,,5.2%,55.7%,30.8%,7.2%,99.8%,11.9%,88.6%,90.1%,,,,,,
75M094,P.S. M094,s,s,24,2,,#VALUE!,,,7.1%,30.4%,44.6%,16.7%,99.8%,18.4%,82.4%,85.1%,,,,,,
75R025,South Richmond High School I.S./P.S. 25,s,s,75,5,,#VALUE!,,,1.8%,38.6%,30.2%,27.9%,99.8%,3.6%,85.5%,87.1%,,,,,,
75X017,P.S. X017,s,s,44,3,,#VALUE!,,,1.9%,38.5%,53.1%,4.5%,99.8%,19.0%,90.4%,93.3%,,,,,,
75X168,P.S. 168,s,s,46,3,,#VALUE!,,,3.2%,34.1%,60.1%,1.9%,99.8%,21.9%,89.1%,91.8%,,,,,,
75X176,P.S. X176,s,s,96,7,,#VALUE!,,,2.1%,42.1%,48.4%,6.3%,100.0%,10.6%,81.6%,84.9%,,,,,,
84K333,Explore Exceed Charter School,38,s,53,4,,71.7%,,,2.8%,72.9%,22.2%,0.2%,23.6%,7.9%,77.8%,73.2%,,,,,,
84K355,Williamsburg Collegiate Charter School,22,s,81,6,,27.2%,,,0.3%,27.2%,71.2%,1.2%,21.7%,6.8%,83.9%,78.3%,,,,,,
84K356,Achievement First Crown Heights Charter School,49,s,80,6,,61.3%,,,0.3%,94.6%,3.8%,0.4%,16.2%,0.2%,75.1%,64.5%,,,,,,
84K357,KIPP AMP Charter School,35,s,78,5,,44.9%,,,1.6%,86.0%,9.6%,0.4%,16.8%,1.9%,84.1%,77.3%,,,,,,
84K358,Achievement First East New York Charter School,25,s,60,4,,41.7%,,,0.7%,75.5%,21.5%,0.6%,12.7%,1.9%,83.5%,73.0%,,,,,,
84K360,Launch Expeditionary Learning Charter School,27,s,108,8,,25.0%,,,1.3%,81.5%,13.6%,0.7%,25.5%,4.3%,93.7%,87.1%,,,,,,
84K379,Explore Excel Charter School,23,s,60,4,,38.3%,,,1.1%,91.7%,4.4%,0.6%,18.6%,6.3%,78.7%,63.8%,,,,,,
